trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.1999999999999997, 'e': 0.06720551273974976}",20,9,19.59429629472609,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1999999999999997, 'e': 0.06587475442640296}",30,20,18.243588751223818,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1999999999999997, 'e': 0.06457034689316848}",20,3,-15.571063355035914,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.1999999999999997, 'e': 0.06329176835964072}",20,0,30.14078052271804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.1999999999999997, 'e': 0.062038507377358304}",25,0,38.37923479329927,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.1999999999999997, 'e': 0.06081006262521796}",20,12,13.847733779873826,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.1999999999999997, 'e': 0.059605942708939375}",20,8,16.91282423626532,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1999999999999997, 'e': 0.058425665964500835}",25,20,11.245806266510845,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1999999999999997, 'e': 0.057268760265467365}",25,5,34.13950583891826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.1999999999999997, 'e': 0.05613476283413374}",35,23,25.418049463268574,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.1999999999999997, 'e': 0.055023220056407245}",20,15,10.210662471878742,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.1999999999999997, 'e': 0.053933687300356026}",25,15,-1.7750208738824111,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.1999999999999997, 'e': 0.052865728738350375}",25,18,-26.64973339157291,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.1999999999999997, 'e': 0.05181891717272584}",20,10,3.595552933581461,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.1999999999999997, 'e': 0.05079283386489851}",25,13,7.853020756780767,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.1999999999999997, 'e': 0.04978706836786395}",20,0,-26.941815426808624,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
151,False,"{'a': 0.1999999999999997, 'e': 0.04880121836201297}",25,16,17.31760295731897,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.1999999999999997, 'e': 0.047834889494198375}",20,12,12.895309243319407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1999999999999997, 'e': 0.04688769521998849}",20,8,17.986676495032317,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.1999999999999997, 'e': 0.04595925664904421}",20,8,20.57276020357039,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.1999999999999997, 'e': 0.04504920239355781}",25,15,19.210497534378224,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.1999999999999997, 'e': 0.04415716841969287}",30,18,26.552141906888014,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1999999999999997, 'e': 0.0432827979019659}",25,14,23.058292841841823,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.1999999999999997, 'e': 0.04242574108051139}",20,4,30.281241773918076,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.1999999999999997, 'e': 0.04158565512117317}",20,9,21.90298800404327,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.1999999999999997, 'e': 0.04076220397836622}",25,13,13.152032051646186,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1999999999999997, 'e': 0.0399550582606539}",30,5,42.87052757656142,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.1999999999999997, 'e': 0.03916389509898707}",25,13,24.71582973119539,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.1999999999999997, 'e': 0.03838839801755206}",25,10,26.323938597676545,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1999999999999997, 'e': 0.03762825680717621}",20,10,21.12645337285394,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1999999999999997, 'e': 0.03688316740124}",20,12,12.33671179539679,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1999999999999997, 'e': 0.03615283175404641}",20,5,26.75213109104284,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.1999999999999997, 'e': 0.03543695772159865}",25,17,-1.8359564172076084,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.1999999999999997, 'e': 0.03473525894473857}",30,3,27.606178256270862,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.1999999999999997, 'e': 0.03404745473459935}",20,9,7.596175927768976,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.1999999999999997, 'e': 0.03337326996032609}",20,10,17.574944070873038,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
