trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
112,False,"{'a': 0.1999999999999997, 'e': 0.10645850437925282}",20,8,23.798135664038323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1999999999999997, 'e': 0.10435048475476501}",20,14,11.476787780489662,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.1999999999999997, 'e': 0.10228420671553745}",25,13,21.34715410713677,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.1999999999999997, 'e': 0.10025884372280372}",30,16,26.614731895269887,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.1999999999999997, 'e': 0.09827358560436156}",20,9,23.82769662658151,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.1999999999999997, 'e': 0.09632763823049305}",20,8,10.261544202056388,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.1999999999999997, 'e': 0.09442022319630236}",30,12,29.431281425309162,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.1999999999999997, 'e': 0.0925505775103433}",20,9,16.237642195272954,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.1999999999999997, 'e': 0.09071795328941253}",20,15,3.5357619123227266,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.1999999999999997, 'e': 0.08892161745938636}",25,19,4.99677288961019,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.1999999999999997, 'e': 0.08716085146198131}",20,12,14.512958920732443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.1999999999999997, 'e': 0.08543495096732125}",25,11,9.033445744865102,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.1999999999999997, 'e': 0.08374322559219596}",20,8,19.517293272940762,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.1999999999999997, 'e': 0.0820849986238988}",35,22,24.98442718099983,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.1999999999999997, 'e': 0.08045960674953244}",30,20,19.46162271265051,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.1999999999999997, 'e': 0.07886639979067496}",30,0,-0.4529592143404131,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.1999999999999997, 'e': 0.07730474044329975}",20,12,16.28186099845545,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.1999999999999997, 'e': 0.07577400402284548}",20,0,7.565784006570875,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.1999999999999997, 'e': 0.07427357821433389}",20,0,20.446494668353562,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
131,False,"{'a': 0.1999999999999997, 'e': 0.0728028628274356}",20,10,19.964977228730916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1999999999999997, 'e': 0.07136126955638607}",20,5,20.36669443535161,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1999999999999997, 'e': 0.06994822174465536}",35,18,16.38170367405153,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1999999999999997, 'e': 0.06856315415427792}",25,16,5.864847631696665,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.1999999999999997, 'e': 0.06720551273974976}",25,7,26.830357570520263,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.1999999999999997, 'e': 0.06587475442640296}",20,0,-4.72456026640572,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
137,False,"{'a': 0.1999999999999997, 'e': 0.06457034689316848}",25,11,21.08755049938671,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1999999999999997, 'e': 0.06329176835964072}",20,11,19.64962005635113,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1999999999999997, 'e': 0.062038507377358304}",25,19,9.744882736701706,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.1999999999999997, 'e': 0.06081006262521796}",20,0,27.78765030761863,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
